place,address,latitude,longitude,zip code,behavior
Toy park,133 Nelson Ferry Rd,33.776071,-84.30461,30030,Playing
Zoo,800 Cherokee Ave SE,33.733974,-84.370759,30315,Entertainment
Playground,1458 McConnell Dr,33.807255,-84.306591,30033,Playing
Children's museum,275 Centennial Olympic Park Dr NW,33.763057,-84.391593,30313,Learning
Fernbank science center,156 Heaton Park Dr,33.778406,-84.319117,30307,Learning
